housing_type,bedrooms,bathrooms,guest_toilet,parking_space,district,address,rent_per_annum, district_code,local government
penthouse,4,4,1,4,lekki,Newly Built 4 Bedroom Penthouse With A Bq4 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Lagos   Updated Today,400000000,35,eti osa
flat / apartment,4,4,1,4,ikoyi,"Off Plan Opportunity To Buy!4 BEDROOM FLAT & APARTMENT FOR RENT Mobolaji Johnson Way Ikoyi Ikoyi Lagos   Updated 30 Aug 2022,  01 Jul 2021",400000000,25,eti osa
flat / apartment,3,3,0,2,victoria island,"Eko Pearls Towers,eko Atlantic Estate, Victoria Island3 BEDROOM BLOCK OF FLATS FOR RENT Victoria Island Victoria Island Victoria Island Lagos   Updated 09 Oct 2022,  19 Jul 2022",390000000,51,eti osa
flat / apartment,2,2,1,2,victoria island,"Luxury 2 Bedroom Ocean View Residential Tower Project Located In A Prime Serene Part Of The Prestigious City Of Eko Atlantic City2 BEDROOM BLOCK OF FLATS FOR RENT Eko Atlantic City Victoria Island Victoria Island Lagos   Updated 09 Oct 2022,  22 Aug 2022",360000000,51,eti osa
flat / apartment,4,4,1,4,lekki,3 Units Of 4 Bedroom Maisonette With A Bq4 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Lagos   Updated Today,350000000,35,eti osa
flat / apartment,3,3,0,3,ikoyi,"Brand New 3 Units Of 3 Bedroom Flat With Bq, S/ Pool Etc.FLAT & APARTMENT FOR RENT Banana Island Ikoyi Lagos   Updated 09 Oct 2022,  26 Jul 2022",350000000,25,eti osa
flat / apartment,2,2,0,2,apapa,"Luxury Block Of 6 Nos Of 2 Bedroom Flats With Generator And Gatehouse2 BEDROOM BLOCK OF FLATS FOR RENT Hall Lane Off Oduduwa Street, Gra Apapa Apapa Apapa Lagos   Updated Today",350000000,9,apapa
flat / apartment,3,3,1,3,victoria island,"Gracious Luxury Newly Built Spacious 2 And 3 Bedroom Block Of Flat For Sale Serviced Apartments3 BEDROOM BLOCK OF FLATS FOR RENT Eko Atlantic City Victoria Island Victoria Island Lagos   Updated 09 Oct 2022,  09 Aug 2022",350000000,51,eti osa
flat / apartment,3,3,0,3,ikoyi,"3bedroom Apartment With A Room Bq3 BEDROOM FLAT & APARTMENT FOR RENT Banana Island Ikoyi Lagos   Updated 07 Oct 2022,  12 Aug 2022",330000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,"Luxuriously Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS FOR RENT Ikoyi, Lagos Ikoyi Ikoyi Lagos   Updated 09 Oct 2022,  29 Aug 2022",300000000,25,eti osa
flat / apartment,3,3,0,3,ikoyi,Luxury And Fully Serviced 3 Bedroom Apartment With Bq3 BEDROOM FLAT & APARTMENT FOR RENT Ikoyi Ikoyi Lagos   Updated Today,300000000,25,eti osa
flat / apartment,3,3,0,3,ikoyi,Classic 3 Bedroom Flats3 BEDROOM FLAT & APARTMENT FOR RENT Banana Island Ikoyi Lagos   Updated Today,300000000,25,eti osa
building,5,5,1,4,ikoyi,"Exquisitely Finished And Furnished 5 Bedroom Flat With A Room Boys Quarter5 BEDROOM BLOCK OF FLATS FOR RENT Mojisola Onikoyi Estate Banana Island Ikoyi Lagos   Updated 09 Oct 2022,  23 Aug 2022",280000000,25,eti osa
flat / apartment,3,3,1,2,ikoyi,"Luxury 10units Of 3bedroom With Excellent Sea View3 BEDROOM BLOCK OF FLATS FOR RENT Off Awolowo Way Awolowo Road Ikoyi Lagos   Updated 09 Oct 2022,  05 Aug 2022",280000000,25,eti osa
flat / apartment,3,3,0,3,ikoyi,Luxury And Fully Serviced 3 Bedroom Flat With Bq3 BEDROOM FLAT & APARTMENT FOR RENT Banana Island Ikoyi Lagos   Updated Today,280000000,25,eti osa
flat / apartment,2,2,0,2,victoria island,"Exquisite 2 Bedroom Apartment Open To 5 Years Installmental Or Mortgage Plan2 BEDROOM FLAT & APARTMENT FOR RENT Eko Atlantic City Victoria Island Victoria Island Lagos   Updated 09 Oct 2022,  04 Dec 2020",280000000,51,eti osa
flat / apartment,3,3,1,3,ikoyi,Brand New 3 Bedroom Flat With A Bq3 BEDROOM FLAT & APARTMENT FOR RENT Off Banana Island Road Ikoyi Lagos 12 Sep 2022,280000000,25,eti osa
flat / apartment,4,4,0,4,lekki,"Top Notch Super Luxury 2 Bedroom Flat , 3 Bedroom Flat And 4 Bedroom Massoneitte4 BEDROOM BLOCK OF FLATS FOR RENT Lekki Lekki Phase 1 Lekki Lagos   Updated 04 Oct 2022,  08 Oct 2021",275000000,35,eti osa
flat / apartment,4,4,0,4,lekki,"4 Bedroom Maisonettes, 2 Bedroom Flat And 3 Bedroom Flat4 BEDROOM BLOCK OF FLATS FOR RENT Lekki Lekki Phase 1 Lekki Lagos   Updated 04 Oct 2022,  08 Oct 2021",275000000,35,eti osa
flat / apartment,3,3,0,3,ikoyi,"Exquisitely Built 3 Bedroom Flat With A Room Bq In A Serene Environment3 BEDROOM FLAT & APARTMENT FOR RENT Ikoyi Lagos   Updated 09 Oct 2022,  08 Aug 2022",260000000,25,eti osa
building,5,5,0,4,victoria island,"Block Of Flats5 BEDROOM BLOCK OF FLATS FOR RENT Oniru Oniru Victoria Island Lagos   Updated 09 Oct 2022,  22 Oct 2021",255000000,51,eti osa
flat / apartment,3,3,1,2,victoria island,16 Units Of 3 Bedroom Flats In An Highly Desirable Area3 BEDROOM BLOCK OF FLATS FOR RENT Oniru Victoria Island Lagos   Updated Today,250000000,51,eti osa
flat / apartment,3,3,0,3,ikoyi,Brand New 3 Bedroom Flat3 BEDROOM FLAT & APARTMENT FOR RENT Off Banana Island Ikoyi Ikoyi Lagos   Updated Today,250000000,25,eti osa
duplex,6,6,0,4,gbagada,Brand New Block Of 6 FlatsBLOCK OF FLATS FOR RENT By Deeper Life Church Gbagada Gbagada Lagos   Updated Today,250000000,13,kosofe
flat / apartment,4,4,1,4,ikoyi,"Very Neat 4 Bedroom Fantastic Flat4 BEDROOM BLOCK OF FLATS FOR RENT Banana Island Way Banana Island Ikoyi Lagos   Updated 09 Oct 2022,  14 Jul 2022",250000000,25,eti osa
flat / apartment,4,4,0,4,ikoyi,"4bed Ensuite Maisonettes With Fitted Kitchen, Bq, Comes Serviced With 24hrs Electricity, Elevator, Swimming Pool, Ample Car Parking In A Serene Location4 BEDROOM FLAT & APARTMENT FOR RENT Parkview Estate Ikoyi Lagos   Updated 09 Oct 2022,  15 Jul 2022",230000000,25,eti osa
