housing_type,bedrooms,bathrooms,guest_toilet,parking_space,district,address,rent_per_annum, district_code,local government
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,2,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,2,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,2,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,4,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,4,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,1,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,1,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,2,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,2,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,2,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,2,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,4,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,4,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Beautifully Finished 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS For Sale Ikoyi Lagos   Updated Today,220000000,25,eti osa
flat / apartment,3,3,1,2,lekki,1 Unit Of 3 Bedroom Maisonette In A Secured Neighborhood3 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Lagos   Updated Today,200000000,35,eti osa
mini flat (room and parlour) ,1,1,0,1,lekki,Brand New 1 Bedroom Flat With Fully Fitted Kitchen1 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Phase 1 Lekki Lagos   Updated Today,200000000,35,eti osa
flat / apartment,3,3,1,2,ikoyi,Exclusive 3 Bedroom Apartment With Excellent Facilities3 BEDROOM BLOCK OF FLATS FOR RENT Old Ikoyi Ikoyi Ikoyi Lagos   Updated Today,200000000,25,eti osa
duplex,5,5,1,4,lekki,"Newly Built Well Furnished 5 Bedroom Detached Duplex5 BEDROOM FLAT & APARTMENT FOR RENT Ikota Villa Estate Ikota Lekki Lagos   Updated 09 Oct 2022,  05 Sep 2022",200000000,35,eti osa
flat / apartment,3,3,1,3,ikoyi,"Luxury 3 Bedroom Apartment With Bq3 BEDROOM FLAT & APARTMENT FOR RENT Ikoyi Ikoyi Ikoyi Lagos   Updated 09 Oct 2022,  09 Feb 2022",200000000,25,eti osa
flat / apartment,3,3,0,3,oshodi ajao,Block Of 6 Flat Of 3 Bedrooms Flats All Rooms EnsuitBLOCK OF FLATS FOR RENT Back Of Chivita Ajao Estate Airport Road Ajao Estate Oshodi Lagos   Updated Today,200000000,47,oshodi
flat / apartment,2,2,1,2,ikoyi,Brand New And Fully Serviced 2 Bedroom Flat2 BEDROOM FLAT & APARTMENT FOR RENT Off Boudillion Way Ikoyi Ikoyi Lagos   Updated Today,200000000,25,eti osa
flat / apartment,3,3,0,3,ikeja adeniyi jones,Four Numbers Of Three Bedroom Flat3 BEDROOM BLOCK OF FLATS FOR RENT Adeniyi Jones Ikeja Ikeja Lagos   Updated Today,200000000,21,ikeja
flat / apartment,3,3,0,3,ojodu,Tastefully Furnished 4 Units Of 3 Bedrooms Flat With 1 Unit Of 2 Bedroom Flat3 BEDROOM BLOCK OF FLATS FOR RENT Omole Phase 2 Extention Olowora Omole Ikeja Lagos   Updated Today,200000000,39,ikeja
flat / apartment,3,3,0,3,ikoyi,Brand New And Fully Serviced 3 Bedroom Flat With Bq3 BEDROOM FLAT & APARTMENT FOR RENT Parkview Estate Parkview Estate Ikoyi Lagos   Updated Today,200000000,25,eti osa
flat / apartment,3,3,0,3,ikoyi,Luxury And Fully Serviced 3 Bedroom Apartment With Bq3 BEDROOM FLAT & APARTMENT FOR RENT Banana Island Ikoyi Lagos   Updated Today,200000000,25,eti osa
flat / apartment,3,3,1,2,lekki,Waterfront 3 Bedroom Apartment With A View Overlooking The Lagoon3 BEDROOM BLOCK OF FLATS FOR RENT Off Admiralty Way Lekki Expressway Lekki Lagos   Updated Today,190000000,35,eti osa
flat / apartment,3,3,0,3,victoria island,"Luxury 3 Bedroom Apartment3 BEDROOM BLOCK OF FLATS FOR RENT Oniru Oniru Victoria Island Lagos   Updated 09 Oct 2022,  15 Feb 2022",190000000,51,eti osa
flat / apartment,3,3,0,3,ogba,11 Units Of 3 Bedroom Blocks Of Flats3 BEDROOM BLOCK OF FLATS FOR RENT Ogba Ikeja Lagos   Updated Today,190000000,38,ikeja
flat / apartment,3,3,1,3,lekki,"3 Bedroom Apartment With Gym, Swimming Pool & Elevator Fully Automated3 BEDROOM FLAT & APARTMENT FOR RENT Lekki Phase1 Lekki Phase 1 Lekki Lagos   Updated 04 Oct 2022,  08 Jul 2022",190000000,35,eti osa
flat / apartment,4,4,1,4,lekki,Furnished 4 Bedroom Apartment With A Room Bq4 BEDROOM BLOCK OF FLATS FOR RENT Ikate Ikate Elegushi Lekki Lagos   Updated Today,185000000,35,eti osa
flat / apartment,3,3,1,3,ikoyi,"3 Bedroom Tastefully Finished Serviced Apartment With Bq3 BEDROOM FLAT & APARTMENT FOR RENT Ikoyi, Lagos Ikoyi Ikoyi Lagos   Updated 09 Oct 2022,  29 Aug 2022",185000000,25,eti osa
flat / apartment,3,3,0,3,ikoyi,Luxury And Fully Serviced 3 Bedroom Apartment With Bq3 BEDROOM FLAT & APARTMENT FOR RENT Ikoyi Ikoyi Lagos   Updated Today,185000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,"A Fully Furnished 3 Bedroom Flat At Onikoyi Banana Island Road3 BEDROOM FLAT & APARTMENT FOR RENT Onikoyi Banana Island Road Banana Island Ikoyi Lagos   Updated 09 Oct 2022,  05 Sep 2022",180000000,25,eti osa
flat / apartment,3,3,1,3,lekki,"Brand New 3 Bedroom Elegantly Finished Apartment With Swimming Pool3 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1, Lagos Lekki Phase 1 Lekki Lagos   Updated 09 Oct 2022,  29 Aug 2022",180000000,35,eti osa
flat / apartment,3,3,0,3,ikoyi,"3 Bedroom Nicely Finished Flat With Bq, Swimming Pool, Elevator, Gym And Lots More..3 BEDROOM FLAT & APARTMENT FOR RENT Ikoyi Ikoyi Ikoyi Lagos   Updated 09 Oct 2022,  19 Feb 2021",180000000,25,eti osa
flat / apartment,3,3,0,3,ikoyi,"Luxury And Fully Serviced 3 Bedroom Apartment With Bq3 BEDROOM FLAT & APARTMENT FOR RENT Adeyemi Lawson, Old Ikoyi Ikoyi Ikoyi Lagos   Updated Today",180000000,25,eti osa
flat / apartment,3,3,0,3,ikoyi,"Luxury And Fully Serviced 3 Bedroom Apartment With Bq3 BEDROOM FLAT & APARTMENT FOR RENT Adeyemi Lawson, Old Ikoyi Ikoyi Ikoyi Lagos   Updated Today",180000000,25,eti osa
flat / apartment,3,3,1,3,victoria island,"Newly Built 2bedroom/ 3bedroom Apartment For Sale In Vi3 BEDROOM BLOCK OF FLATS FOR RENT Victoria Island Victoria Island Lagos   Updated 09 Oct 2022,  24 May 2022",180000000,51,eti osa
flat / apartment,3,3,0,3,ikoyi,"3 Bedroom Flats With Bq (serviced)3 BEDROOM FLAT & APARTMENT FOR RENT Ikoyi Parkview Estate Ikoyi Lagos   Updated 04 Oct 2022,  05 Oct 2021",180000000,25,eti osa
flat / apartment,2,2,1,2,ikoyi,"Newly Built 2 Bedroom Apartment With Staff Room2 BEDROOM FLAT & APARTMENT FOR RENT Turnbull Estate Banana Island Ikoyi Lagos   Updated 30 Aug 2022,  25 Jun 2021",180000000,25,eti osa
flat / apartment,2,2,0,2,ikoyi,"Newly Built 2 Bedrooms Apartment2 BEDROOM FLAT & APARTMENT FOR RENT Shoreline Estate Banana Island Ikoyi Lagos   Updated 30 Aug 2022,  05 Feb 2020",180000000,25,eti osa
flat / apartment,3,3,0,2,ikoyi,Newly Built 3 Bedroom Flat With Luxury Facilities Is Now For Sale In Old Ikoyi3 BEDROOM FLAT & APARTMENT FOR RENT Old Ikoyi Ikoyi Ikoyi Lagos 19 Jan 2022,180000000,25,eti osa
building,3,3,0,2,opebi,"Brand New 4 Nos Of Supersharp 3 Bedrooms Semi Detached Duplexes In A Compound In A Lovely Located Off Salvation, Opebi3 BEDROOM FLAT & APARTMENT FOR RENT Off Salvation Road , Opebi , Ikeja . Opebi Ikeja Lagos 17 Jul 2021",180000000,44,ikeja
duplex,6,6,0,4,ojodu,6 Nos Of FlatsBLOCK OF FLATS FOR RENT Omole Phase2 Extension Olowora Omole Ikeja Lagos   Updated Today,175000000,39,ikeja
duplex,5,5,0,4,lekki,"Spacious 5 Bedroom Ensuite Detached Duplex5 BEDROOM FLAT & APARTMENT FOR RENT Ikate Elegushi Lekki Lagos   Updated 09 Oct 2022,  09 Aug 2022",170000000,35,eti osa
duplex,4,4,0,4,ogba,4 Bedroom Duplex With 3 Bedroom Dawn With Mini Flat And 2 Nos Mini Flat With 2 Nos 2 Bedroom Flat4 BEDROOM BLOCK OF FLATS FOR RENT Moyo Agoro Off Kayode Ogba Ifako Ijaiye Ogba Ikeja Lagos   Updated Today,170000000,38,ikeja
flat / apartment,3,3,1,2,victoria island,Serviced 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS FOR RENT Sinari Daranijo Street Victoria Island Victoria Island Lagos   Updated Today,165000000,51,eti osa
flat / apartment,3,3,0,3,victoria island,Luxury And Fully Serviced 3 Bedroom Flat And 2 Bedroom Pent Floor With 1 Room Bq3 BEDROOM FLAT & APARTMENT FOR RENT Off Ajose Adeogun Victoria Island Victoria Island Lagos   Updated Today,165000000,51,eti osa
flat / apartment,2,2,0,2,victoria island,"Luxury 2 Bedroom Apartment2 BEDROOM FLAT & APARTMENT FOR RENT Off Kofo Abayomi Victoria Island Victoria Island Lagos   Updated 30 Aug 2022,  17 Aug 2021",165000000,51,eti osa
penthouse,4,4,1,4,victoria island,Serviced 4 Bedroom Pent House Apartment With 1 Bq4 BEDROOM BLOCK OF FLATS FOR RENT Off Sheraton Oniru Victoria Island Lagos   Updated Today,160000000,51,eti osa
flat / apartment,3,3,0,3,gbagada,6nos Of 3bedroom Flat New Model House3 BEDROOM BLOCK OF FLATS FOR RENT Obawole Area Ifako Ijaiye Ifako Gbagada Lagos   Updated Today,160000000,13,kosofe
flat / apartment,3,3,0,3,victoria island,"Impeccable 3 Bedrooms Apartment3 BEDROOM FLAT & APARTMENT FOR RENT Off Adeola Odeku Victoria Island Victoria Island Lagos   Updated 09 Oct 2022,  15 Jun 2021",160000000,51,eti osa
flat / apartment,3,3,1,3,ikoyi,"Well Built 3 Bedroom Apartment With Bq In Ikoyi3 BEDROOM FLAT & APARTMENT FOR RENT Old Ikoyi Ikoyi Ikoyi Lagos   Updated 04 Oct 2022,  15 Sep 2021",160000000,25,eti osa
flat / apartment,3,3,0,2,victoria island,"20 Units Of Newly Built 3 Bedroom Serviced Flat+ 1 Room Bq Beach, With Elevator, Gym, Swimming Pool3 BEDROOM FLAT & APARTMENT FOR RENT Oniru Oniru Victoria Island Lagos 18 Nov 2021",160000000,51,eti osa
flat / apartment,3,3,0,3,ikoyi,"3 Bedroom Highrise Flats With Boys Quaters3 BEDROOM BLOCK OF FLATS FOR RENT Ikoyi Ikoyi Ikoyi Lagos   Updated 09 Oct 2022,  29 Jul 2021",155000000,25,eti osa
flat / apartment,3,3,1,2,victoria island,Waterview 3 Bedroom Flats With Amazing Facilities3 BEDROOM BLOCK OF FLATS FOR RENT Oniru Victoria Island Lagos   Updated Today,150000000,51,eti osa
flat / apartment,2,2,1,2,victoria island,16 Units Of 2 Bedroom Flats In An Highly Desirable Area2 BEDROOM BLOCK OF FLATS FOR RENT Oniru Victoria Island Lagos   Updated Today,150000000,51,eti osa
flat / apartment,3,3,0,3,mushin,"2nos Of 3 Bedroom Flat3 BEDROOM BLOCK OF FLATS FOR RENT Adeola Adeleye Street, Ilupeju Ilasamaja Mushin Lagos   Updated 09 Oct 2022,  13 Jul 2022",150000000,37,mushin
flat / apartment,3,3,0,3,ikoyi,"3 Bedroom Luxury Flat With Bq3 BEDROOM FLAT & APARTMENT FOR RENT Ikoyi Ikoyi Ikoyi Lagos   Updated 09 Oct 2022,  22 Jun 2021",150000000,25,eti osa
flat / apartment,3,3,0,3,agege,"6 Nos 3 Bedroom FlatBLOCK OF FLATS FOR RENT Dayo Kuye Close, New Oko Oba Agege Agege Lagos   Updated Today",150000000,4,agege
flat / apartment,3,3,1,3,victoria island,"3 Bedroom Apartment3 BEDROOM FLAT & APARTMENT FOR RENT Facing The Ocean Oniru Victoria Island Lagos   Updated 04 Oct 2022,  23 Jul 2022",150000000,51,eti osa
flat / apartment,3,3,1,3,ikoyi,"Contemporary 3 Bedroom Apartment With Bq3 BEDROOM BLOCK OF FLATS FOR RENT Ikoyi, Lagos Ikoyi Ikoyi Lagos   Updated 09 Oct 2022,  29 Aug 2022",140000000,25,eti osa
duplex,5,5,0,4,lekki,"Spectacular 5 Bedroom Ensuite Detached Duplex5 BEDROOM FLAT & APARTMENT FOR RENT Ikota Lekki Lagos   Updated 09 Oct 2022,  04 Aug 2022",140000000,35,eti osa
duplex,5,5,0,4,abule egba,1 Unit Of 5bedroom Duplex & 3 No's Of 3bedroom Flat5 BEDROOM BLOCK OF FLATS FOR RENT Beckley Estate Abule Egba Agege Lagos   Updated Today,140000000,1,alimosho
flat / apartment,3,3,0,3,ikoyi,Luxury And Fully Serviced 3 Bedroom Apartment With Bq3 BEDROOM FLAT & APARTMENT FOR RENT Ikoyi Ikoyi Lagos   Updated Today,140000000,25,eti osa
flat / apartment,3,3,0,3,lekki,"3bedroom Apartment With A Room Bq3 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Lagos   Updated 07 Oct 2022,  12 Aug 2022",140000000,35,eti osa
flat / apartment,3,3,1,3,lekki,"Luxury 3bedroom Apartment3 BEDROOM FLAT & APARTMENT FOR RENT Lekki Phase 1 Lekki Lagos   Updated 05 Oct 2022,  03 Aug 2022",140000000,35,eti osa
flat / apartment,3,3,1,2,lekki,Spacious 3 Bedroom Apartment With Water View3 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Lagos   Updated Today,135000000,35,eti osa
flat / apartment,3,3,1,2,lekki,Luxury 3 Bedroom Apartment With Ample Parking Space3 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Lagos   Updated Today,135000000,35,eti osa
flat / apartment,4,4,1,4,lekki,Furnished 3 Bedroom Apartment With Skyline View4 BEDROOM BLOCK OF FLATS FOR RENT Kunsela Road Ikate Elegushi Lekki Lagos   Updated Today,135000000,35,eti osa
flat / apartment,3,3,0,3,lekki,"Brand New Executive Super Luxury Water Front 3 Bedroom Block Of Flats With Swimming Pool And Bq For Sale3 BEDROOM FLAT & APARTMENT FOR RENT Lekki Lekki Phase 1 Lekki Phase 1 Lekki Lagos   Updated 09 Oct 2022,  28 Feb 2022",135000000,35,eti osa
duplex,4,4,0,4,lekki,"Beautiful 4 Bedroom All Ensuite Semi Detached Duplex4 BEDROOM FLAT & APARTMENT FOR RENT Ikate Elegushi Lekki Lagos   Updated 09 Oct 2022,  09 Aug 2022",130000000,35,eti osa
flat / apartment,3,3,1,3,ikoyi,"Serviced 3bedroom Flat With Swimming Pool3 BEDROOM FLAT & APARTMENT FOR RENT Ikoyi Ikoyi Lagos   Updated 09 Oct 2022,  21 Sep 2022",130000000,25,eti osa
duplex,4,4,0,4,surulere,Block Of 4 FlatsBLOCK OF FLATS FOR RENT Surulere Surulere Lagos   Updated Today,130000000,50,surulere
flat / apartment,3,3,1,3,ogba,An Exclusive Modern Blocks Of 4 Flats Of 3bedrooms3 BEDROOM BLOCK OF FLATS FOR RENT Adeyeri Estate College Road Ogba Ikeja Lagos   Updated Today,130000000,38,ikeja
building,3,3,0,3,agege,Newly Built 6 Flat Of 2 Bedroom With 3 Bedroom Detached DuplexBLOCK OF FLATS FOR RENT Ponle Akowonjo Egbeda Agege Lagos   Updated Today,130000000,4,agege
duplex,2,2,0,2,agege,Newly Built 6 Flat Of 2 Bedroom With 3 Bedroom Detached Duplex2 BEDROOM BLOCK OF FLATS FOR RENT Ponle Akowonjo Akowonjo Agege Lagos   Updated Today,130000000,4,agege
flat / apartment,3,3,1,3,victoria island,"Elegant Newly Built Spacious 3 Bedroom Block Of Flat With Bq And Swimming Pool3 BEDROOM BLOCK OF FLATS FOR RENT Oniru Victoria Island Lagos   Updated 09 Oct 2022,  16 Aug 2022",130000000,51,eti osa
flat / apartment,3,3,1,3,lekki,"3bedroom Apartment With A Bq3 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Lagos   Updated 09 Oct 2022,  14 Sep 2022",130000000,35,eti osa
flat / apartment,3,3,0,4,ikoyi,"Newly Built 3 Bedroom Flat Is Now Available For Sale In Parkview, Ikoyi, Lagos3 BEDROOM FLAT & APARTMENT FOR RENT Parkview Estate Parkview Estate Ikoyi Lagos 23 Nov 2020",130000000,25,eti osa
flat / apartment,3,3,1,4,ikoyi,Luxury And Fully Serviced 3 Bedroom Flat With Bq3 BEDROOM FLAT & APARTMENT FOR RENT Ikoyi Ikoyi Ikoyi Lagos 22 Nov 2020,130000000,25,eti osa
flat / apartment,3,3,1,2,lekki,Furnished 3 Bedroom Apartment With Unique View3 BEDROOM BLOCK OF FLATS FOR RENT Ikate Ikate Elegushi Lekki Lagos   Updated Today,125000000,35,eti osa
flat / apartment,3,3,0,2,lekki,"Luxury 4bedroom Terrace,bq And A Private Compound In A Serene Estate At Illasan Lekki. Bus Stop = World Oil/ Blenco Supermarket3 BEDROOM FLAT & APARTMENT FOR RENT Lekki Lagos   Updated Today",125000000,35,eti osa
flat / apartment,3,3,0,3,victoria island,"Brand New Super Luxury 3 Bedroom Blocks Of Flat With Bq And Swimming Pool3 BEDROOM BLOCK OF FLATS FOR RENT Oniru Estate Oniru Estate Oniru Victoria Island Lagos   Updated 09 Oct 2022,  21 Mar 2022",125000000,51,eti osa
flat / apartment,3,3,1,3,ikeja gra,"3 Bedroom Flat Apartment In Ikeja Gra3 BEDROOM FLAT & APARTMENT FOR RENT Adekunle Fajuyi Road Ikeja Gra Ikeja Lagos   Updated 04 Oct 2022,  26 Jul 2022",125000000,22,ikeja
flat / apartment,3,3,0,3,victoria island,"Extraordinary Spacious Brand New 3 Bedroom Block Of Flats For Sale3 BEDROOM BLOCK OF FLATS FOR RENT Oniru Estate Oniru Oniru Victoria Island Lagos   Updated 22 Sep 2022,  12 Jul 2021",125000000,51,eti osa
duplex,5,5,1,4,lekki,"5 Bedroom Fully Detached Duplex Smarthome With Bq For Sale At Orchid Lekki5 BEDROOM FLAT & APARTMENT FOR RENT Off Orchid Rd, Lekki Lekki Expressway Lekki Lagos 06 Jun 2021",125000000,35,eti osa
flat / apartment,2,2,1,2,victoria island,Impeccably Furnished 2 Bedroom Flat In A Serene Neighborhood2 BEDROOM BLOCK OF FLATS FOR RENT Victoria Island Victoria Island Victoria Island Lagos   Updated Today,120000000,51,eti osa
flat / apartment,3,3,1,2,ikoyi,Self Serviced 3 Bedroom Maisonette With Ample Parking Space3 BEDROOM BLOCK OF FLATS FOR RENT Onikoyi Ikoyi Ikoyi Lagos   Updated Today,120000000,25,eti osa
flat / apartment,3,3,1,2,lekki,Brand New 3 Bedroom Apartment With Swimming Area3 BEDROOM BLOCK OF FLATS FOR RENT Lekki Phase 1 Lekki Lagos   Updated Today,120000000,35,eti osa
flat / apartment,3,3,1,2,lekki,Fully Furnished & Serviced 3 Bedroom Apartment With Excellent Features3 BEDROOM BLOCK OF FLATS FOR RENT Ikate Ikate Elegushi Lekki Lagos   Updated Today,120000000,35,eti osa
flat / apartment,2,2,1,2,victoria island,Impeccably Designed & Furnished 2 Bedroom Flat With City View2 BEDROOM BLOCK OF FLATS FOR RENT Victoria Island Lagos   Updated Today,120000000,51,eti osa
flat / apartment,2,2,1,2,lekki,Luxury 2 Bedroom Maisonette With Excellent Facilities2 BEDROOM BLOCK OF FLATS FOR RENT Bluewaters Bloom Towers (bluewaters Phase 2) Lekki Lagos   Updated Today,120000000,35,eti osa
flat / apartment,3,3,1,3,lekki,"Luxury Serviced 3 Bedroom Apartment With 1 Bedroom Servant's Quarter3 BEDROOM BLOCK OF FLATS FOR RENT Jose Maria Escravia Street By Nike Art Gallery Lekki Phase 1 Lekki Lagos   Updated 09 Oct 2022,  29 Jun 2022",120000000,35,eti osa
flat / apartment,2,2,0,2,ikeja,4 Units Of 2 Bedroom Flat2 BEDROOM BLOCK OF FLATS FOR RENT Ikeja Ikeja Lagos   Updated Today,120000000,20,ikeja
duplex,2,2,0,2,agege,"A Vacant Refurbished Able Property Consisting Of 2 Units Of 2 Bedrooms Duplexes+ 8 Units Of 3 Bedroom Flats2 BEDROOM BLOCK OF FLATS FOR RENT Santos Estate,akowonjo, Egbeda, Alimosho Lga Egbeda Agege Lagos   Updated Today",120000000,4,agege
